yelp_id,crime_score,business_name,rating,category
the-tippler-new-york,442,The Tippler,4.0,"[Category(name='Lounges', alias='lounges')]"
the-pony-bar-new-york-2,197,The Pony Bar,4.0,"[Category(name='Bars', alias='bars')]"
kazza-coffee-and-wine-bar-new-york-3,250,Kazza Coffee & Wine Bar,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Tapas Bars', alias='tapas'), Category(name='Coffee & Tea', alias='coffee')]"
harlem-public-new-york,243,Harlem Public,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Pubs', alias='pubs')]"
the-ship-new-york,343,The Ship,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-ginger-man-new-york,514,The Ginger Man,4.0,"[Category(name='Bars', alias='bars'), Category(name='Breweries', alias='breweries')]"
ampersand-new-york-2,418,Ampersand,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]"
amsterdam-tavern-new-york,269,Amsterdam Tavern,4.0,"[Category(name='Bars', alias='bars')]"
jimmys-corner-new-york,827,Jimmy's Corner,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='Sports Bars', alias='sportsbars'), Category(name='Dive Bars', alias='divebars')]"
mess-hall-harlem,265,Mess Hall,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
vanguard-wine-bar-new-york-2,231,Vanguard Wine Bar,4.5,"[Category(name='Wine Bars', alias='wine_bars')]"
harlem-nights-new-york,331,Harlem Nights,4.5,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues')]"
proletariat-new-york,382,Proletariat,4.0,"[Category(name='Beer Bar', alias='beerbar')]"
the-wayland-new-york,200,The Wayland,4.5,"[Category(name='Bars', alias='bars')]"
lions-head-tavern-new-york,202,Lion's Head Tavern,4.0,"[Category(name='Bars', alias='bars')]"
the-milling-room-new-york-2,160,The Milling Room,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars'), Category(name='Desserts', alias='desserts')]"
the-three-monkeys-new-york-3,448,The Three Monkeys,4.0,"[Category(name='Sports Bars', alias='sportsbars')]"
as-is-nyc-new-york,245,As Is NYC,4.5,"[Category(name='Beer Bar', alias='beerbar'), Category(name='American (New)', alias='newamerican')]"
district-tap-house-new-york,858,District Tap House,4.0,"[Category(name='Sports Bars', alias='sportsbars'), Category(name='Gastropubs', alias='gastropubs'), Category(name='Pubs', alias='pubs')]"
the-auction-house-new-york,313,The Auction House,4.0,"[Category(name='Lounges', alias='lounges')]"
the-dead-rabbit-new-york,203,The Dead Rabbit,4.0,"[Category(name='Bars', alias='bars'), Category(name='Irish', alias='irish')]"
bathtub-gin-new-york,390,Bathtub Gin,4.0,"[Category(name='Bars', alias='bars')]"
bea-new-york,532,Bea,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
arts-and-crafts-beer-parlor-soha-new-york-2,138,Arts and Crafts Beer Parlor - Soha,4.0,"[Category(name='Beer Bar', alias='beerbar')]"
draught-55-new-york,343,Draught 55,4.0,"[Category(name='Bars', alias='bars')]"
bar-b-new-york,429,Bar B,4.5,"[Category(name='Italian', alias='italian'), Category(name='Bars', alias='bars'), Category(name='Tapas Bars', alias='tapas')]"
da-capo-new-york-2,161,Da Capo,4.5,"[Category(name='Cafes', alias='cafes'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Cocktail Bars', alias='cocktailbars')]"
lillies-victorian-bar-and-restaurant-new-york-3,630,Lillie's Victorian Bar & Restaurant,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='American (Traditional)', alias='tradamerican')]"
earls-beer-and-cheese-new-york,256,Earl's Beer & Cheese,4.0,"[Category(name='Bars', alias='bars'), Category(name='Comfort Food', alias='comfortfood')]"
gebhards-beer-culture-new-york,204,Gebhard's Beer Culture,4.5,"[Category(name='Beer Bar', alias='beerbar')]"
george-keeley-new-york,249,George Keeley,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]"
cock-and-bull-new-york,523,Cock & Bull,4.0,"[Category(name='British', alias='british'), Category(name='Pubs', alias='pubs'), Category(name='Gastropubs', alias='gastropubs')]"
prohibition-new-york,165,Prohibition,3.5,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Music Venues', alias='musicvenues')]"
barcelona-bar-new-york,474,Barcelona Bar,4.0,"[Category(name='Dive Bars', alias='divebars')]"
old-man-hustle-new-york-2,316,Old Man Hustle,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Dive Bars', alias='divebars'), Category(name='Comedy Clubs', alias='comedyclubs')]"
manhattan-cricket-club-new-york-3,217,Manhattan Cricket Club,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
met-roof-garden-cafe-and-martini-bar-new-york,76,Met Roof Garden Cafe & Martini Bar,4.5,"[Category(name='Bars', alias='bars')]"
réunion-new-york-3,562,Réunion,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-milton-new-york,233,The Milton,4.5,"[Category(name='Irish', alias='irish'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='British', alias='british')]"
beer-culture-new-york,738,Beer Culture,4.0,"[Category(name='Beer Bar', alias='beerbar')]"
raines-law-room-new-york,490,Raines Law Room,4.5,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]"
sixtyfive-new-york-2,498,SixtyFive,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
treadwell-park-new-york,164,Treadwell Park,4.0,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]"
the-winslow-new-york-2,477,The Winslow,4.5,"[Category(name='Pubs', alias='pubs')]"
judge-roy-bean-public-house-new-york,523,Judge Roy Bean Public House,4.5,"[Category(name='Pubs', alias='pubs'), Category(name='Sports Bars', alias='sportsbars'), Category(name='Gastropubs', alias='gastropubs')]"
library-bar-at-hudson-new-york,348,Library Bar at Hudson,4.0,"[Category(name='Lounges', alias='lounges')]"
dtut-new-york,251,DTUT,4.0,"[Category(name='Bars', alias='bars'), Category(name='Coffee & Tea', alias='coffee')]"
bondurants-new-york,326,Bondurants,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Beer Bar', alias='beerbar')]"
bobs-your-uncle-new-york-2,203,Bob's Your Uncle,4.0,"[Category(name='Dive Bars', alias='divebars')]"
the-lexington-social-new-york,305,The Lexington Social,4.0,"[Category(name='Mediterranean', alias='mediterranean'), Category(name='Tapas Bars', alias='tapas'), Category(name='Wine Bars', alias='wine_bars')]"
nitecap-new-york,457,Nitecap,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-rum-house-new-york,899,The Rum House,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Piano Bars', alias='pianobars')]"
the-uncommons-new-york,409,The Uncommons,4.5,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Bars', alias='bars'), Category(name='Tabletop Games', alias='tabletopgames')]"
joes-new-york,242,Joe's,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Burgers', alias='burgers'), Category(name='Beer Bar', alias='beerbar')]"
le-botaniste-new-york,394,Le Botaniste,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Vegan', alias='vegan'), Category(name='Organic Stores', alias='organic_stores')]"
dear-irving-new-york,620,Dear Irving,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Lounges', alias='lounges')]"
the-duck-new-york,277,The Duck,3.5,"[Category(name='Dive Bars', alias='divebars')]"
valhalla-new-york,362,Valhalla,4.0,"[Category(name='Pubs', alias='pubs')]"
the-otheroom-new-york-2,191,The Otheroom,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Wine Bars', alias='wine_bars'), Category(name='American (New)', alias='newamerican')]"
hyacinths-haven-new-york,327,Hyacinth's Haven,4.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Cafes', alias='cafes')]"
the-warren-new-york,269,The Warren,4.5,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]"
ryans-daughter-new-york,220,Ryan's Daughter,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (New)', alias='newamerican')]"
keybar-new-york,307,Keybar,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Pubs', alias='pubs'), Category(name='Cocktail Bars', alias='cocktailbars')]"
handcraft-kitchen-and-cocktails-new-york,383,HandCraft Kitchen & Cocktails,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Gastropubs', alias='gastropubs')]"
raines-law-room-at-the-william-new-york-3,367,Raines Law Room at the William,4.5,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]"
arts-and-crafts-beer-parlor-new-york,369,Arts and Crafts Beer Parlor,4.5,"[Category(name='Pubs', alias='pubs'), Category(name='Art Galleries', alias='galleries')]"
juniper-new-york,955,Juniper,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]"
employees-only-new-york,293,Employees Only,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Lounges', alias='lounges')]"
the-guthrie-inn-new-york,256,The Guthrie Inn,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-waylon-new-york,223,The Waylon,4.5,"[Category(name='Pubs', alias='pubs')]"
heidis-house-new-york-2,210,Heidi's House,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Comfort Food', alias='comfortfood'), Category(name='Gluten-Free', alias='gluten_free')]"
amélie-new-york,374,Amélie,4.5,"[Category(name='French', alias='french'), Category(name='Wine Bars', alias='wine_bars')]"
the-heath-new-york,139,The Heath,4.0,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues'), Category(name='Modern European', alias='modern_european')]"
hogshead-tavern-new-york-2,283,Hogshead Tavern,4.5,"[Category(name='Pubs', alias='pubs')]"
middle-branch-new-york,338,Middle Branch,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-nomad-bar-new-york-2,600,The NoMad Bar,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-gilroy-new-york,210,The Gilroy,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]"
on-the-rocks-new-york-2,255,On The Rocks,4.0,"[Category(name='Lounges', alias='lounges')]"
infirmary-new-york,272,Infirmary,4.0,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Cocktail Bars', alias='cocktailbars')]"
one-star-new-york,523,One Star,4.0,"[Category(name='Bars', alias='bars')]"
broadway-dive-bar-new-york,264,Broadway Dive Bar,4.0,"[Category(name='Dive Bars', alias='divebars')]"
iron-horse-nyc-new-york,197,Iron Horse NYC,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Burgers', alias='burgers')]"
apothéke-new-york-2,224,Apothéke,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]"
5th-and-mad-new-york-2,532,5th & Mad,4.0,"[Category(name='Dance Clubs', alias='danceclubs'), Category(name='Gastropubs', alias='gastropubs'), Category(name='Cocktail Bars', alias='cocktailbars')]"
the-bar-downstairs-new-york,401,The Bar Downstairs,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Tapas/Small Plates', alias='tapasmallplates'), Category(name='Cocktail Bars', alias='cocktailbars')]"
the-confession-box-new-york,208,The Confession Box,4.0,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Pubs', alias='pubs')]"
the-up-and-up-new-york-2,386,The Up & Up,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
angels-share-new-york,501,Angel's Share,4.5,"[Category(name='Japanese', alias='japanese'), Category(name='Cocktail Bars', alias='cocktailbars')]"
flatiron-room-new-york,556,Flatiron Room,4.5,"[Category(name='Lounges', alias='lounges'), Category(name='Jazz & Blues', alias='jazzandblues'), Category(name='American (Traditional)', alias='tradamerican')]"
the-skylark-new-york,917,The Skylark,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Event Planning & Services', alias='eventservices')]"
the-belfry-new-york,508,The Belfry,4.0,"[Category(name='Beer, Wine & Spirits', alias='beer_and_wine'), Category(name='Cocktail Bars', alias='cocktailbars')]"
trademark-taste-and-grind-new-york,936,Trademark Taste & Grind,5.0,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Venues & Event Spaces', alias='venues')]"
bottle-and-bine-new-york,384,Bottle and Bine,4.5,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='American (New)', alias='newamerican'), Category(name='Beer Bar', alias='beerbar')]"
parker-and-quinn-new-york,581,Parker & Quinn,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars'), Category(name='Venues & Event Spaces', alias='venues')]"
the-whales-new-york-2,424,The Whales,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Asian Fusion', alias='asianfusion'), Category(name='Cocktail Bars', alias='cocktailbars')]"
albion-new-york-2,319,Albion,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Sports Bars', alias='sportsbars')]"
rudys-bar-and-grill-new-york,466,Rudy's Bar & Grill,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Hot Dogs', alias='hotdog')]"
the-cellar-new-york,568,The Cellar,4.0,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='American (New)', alias='newamerican'), Category(name='American (Traditional)', alias='tradamerican')]"
rattle-n-hum-east-new-york,552,Rattle N Hum East,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (New)', alias='newamerican')]"
the-library-new-york,378,The Library,4.0,"[Category(name='Dive Bars', alias='divebars')]"
botanica-bar-new-york,522,Botanica Bar,4.0,"[Category(name='Bars', alias='bars')]"
cask-bar-and-kitchen-new-york,323,Cask Bar & Kitchen,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]"
maxwells-central-park-new-york,267,Maxwells Central Park,4.0,"[Category(name='Bars', alias='bars'), Category(name='Burgers', alias='burgers'), Category(name='Scottish', alias='scottish')]"
third-avenue-ale-house-new-york,230,Third Avenue Ale House,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (New)', alias='newamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
vitae-new-york,509,Vitae,4.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Cocktail Bars', alias='cocktailbars')]"
the-catalina-new-york,442,The Catalina,4.5,"[Category(name='Pizza', alias='pizza'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Burgers', alias='burgers')]"
bergen-hill-new-york-3,448,Bergen Hill,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Seafood', alias='seafood')]"
havana-social-new-york-2,252,Havana Social,4.0,"[Category(name='Cuban', alias='cuban'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Tapas Bars', alias='tapas')]"
bemelmans-bar-new-york,112,Bemelmans Bar,4.0,"[Category(name='Bars', alias='bars')]"
lelabar-new-york,248,Lelabar,4.0,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Lounges', alias='lounges')]"
the-flying-cock-pub-new-york-3,287,The Flying Cock Pub,4.5,"[Category(name='Pubs', alias='pubs'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
brickyard-gastropub-new-york,341,Brickyard Gastropub,4.0,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]"
howl-at-the-moon-new-york,516,Howl At the Moon,4.0,"[Category(name='Bars', alias='bars'), Category(name='Party & Event Planning', alias='eventplanning')]"
manhattan-brew-and-vine-new-york-3,167,Manhattan Brew & Vine,4.0,"[Category(name='Wine Bars', alias='wine_bars')]"
dive-bar-new-york-2,319,Dive Bar,3.5,"[Category(name='Dive Bars', alias='divebars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]"
greenwich-treehouse-new-york,437,Greenwich Treehouse,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Pubs', alias='pubs')]"
mcsorleys-old-ale-house-new-york,498,McSorley's Old Ale House,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Breweries', alias='breweries')]"
seamstress-new-york,213,Seamstress,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]"
whispers-restaurant-bar-and-lounge-new-york,297,"Whispers Restaurant, Bar & Lounge",4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Lounges', alias='lounges'), Category(name='American (Traditional)', alias='tradamerican')]"
gleasons-tavern-new-york,1005,Gleason's Tavern,4.5,"[Category(name='Irish', alias='irish'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Cocktail Bars', alias='cocktailbars')]"
jones-wood-foundry-new-york-2,185,Jones Wood Foundry,4.0,"[Category(name='British', alias='british'), Category(name='Bars', alias='bars'), Category(name='Gastropubs', alias='gastropubs')]"
attaboy-new-york,371,Attaboy,4.0,"[Category(name='Bars', alias='bars')]"
garfunkels-new-york,425,Garfunkel's,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
the-four-faced-liar-new-york,434,The Four-Faced Liar,4.0,"[Category(name='Pubs', alias='pubs')]"
amor-y-amargo-new-york,325,Amor y Amargo,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
peter-dillons-new-york,296,Peter Dillon's,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='Pool Halls', alias='poolhalls')]"
elis-night-shift-new-york-2,214,Eli's Night Shift,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Sandwiches', alias='sandwiches')]"
smithfield-new-york,511,Smithfield,4.0,"[Category(name='Pubs', alias='pubs'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]"
124-old-rabbit-club-new-york,401,124 Old Rabbit Club,4.0,"[Category(name='Bars', alias='bars')]"
vino-levantino-new-york,300,Vino Levantino,4.0,"[Category(name='Mediterranean', alias='mediterranean'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
pioneers-new-york-2,598,Pioneers,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Pubs', alias='pubs'), Category(name='Venues & Event Spaces', alias='venues')]"
the-long-hall-new-york,477,The Long Hall,4.5,"[Category(name='Irish Pub', alias='irish_pubs'), Category(name='Pubs', alias='pubs'), Category(name='Grocery', alias='grocery')]"
good-night-sonny-new-york,395,Good Night Sonny,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Seafood', alias='seafood')]"
the-whiskey-ward-new-york,423,The Whiskey Ward,4.0,"[Category(name='Bars', alias='bars')]"
bar-thalia-new-york,281,Bar Thalia,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Wine Bars', alias='wine_bars')]"
little-branch-new-york,341,Little Branch,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]"
juke-bar-new-york,493,Juke Bar,4.5,"[Category(name='Bars', alias='bars')]"
american-beauty-new-york,511,American Beauty,5.0,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues'), Category(name='Pizza', alias='pizza')]"
hibernia-new-york,384,Hibernia,4.0,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]"
blue-ribbon-downing-street-bar-new-york,324,Blue Ribbon Downing Street Bar,4.5,"[Category(name='Bars', alias='bars')]"
hourglass-tavern-new-york-3,508,Hourglass Tavern,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Wine Bars', alias='wine_bars')]"
the-nomad-hotel-new-york-3,579,The NoMad Hotel,4.0,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Lounges', alias='lounges')]"
la-contenta-new-york,449,La Contenta,4.5,"[Category(name='Mexican', alias='mexican'), Category(name='Bars', alias='bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
vinus-and-marc-new-york,238,Vinus and Marc,4.0,"[Category(name='Seafood', alias='seafood'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]"
russian-vodka-room-new-york,491,Russian Vodka Room,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Russian', alias='russian'), Category(name='Jazz & Blues', alias='jazzandblues')]"
ward-iii-new-york,182,Ward III,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]"
ethyls-alcohol-and-food-new-york,337,Ethyl's Alcohol & Food,4.0,"[Category(name='Bars', alias='bars'), Category(name='Burgers', alias='burgers')]"
foxy-johns-bar-and-kitchen-new-york,284,Foxy Johns Bar & Kitchen,4.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]"
tavern29-new-york,413,Tavern29,4.0,"[Category(name='Bars', alias='bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='American (Traditional)', alias='tradamerican')]"
distilled-new-york,208,Distilled,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
johnnys-bar-new-york,365,Johnny's Bar,4.0,"[Category(name='Dive Bars', alias='divebars')]"
the-supply-house-new-york-2,334,The Supply House,4.0,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]"
shalel-lounge-new-york,242,Shalel Lounge,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Moroccan', alias='moroccan')]"
carlow-east-new-york,271,Carlow East,3.5,"[Category(name='Bars', alias='bars'), Category(name='Irish', alias='irish')]"
bierstrasse-nyc-new-york-2,81,Bierstrasse NYC,4.0,"[Category(name='Bars', alias='bars'), Category(name='Beer Gardens', alias='beergardens')]"
ear-inn-new-york,69,Ear Inn,4.0,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]"
shrine-new-york,315,Shrine,4.0,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues')]"
samba-kitchen-and-bar-new-york,428,Samba Kitchen & Bar,5.0,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Brazilian', alias='brazilian'), Category(name='Tapas/Small Plates', alias='tapasmallplates')]"
the-maze-new-york-3,949,The Maze,4.0,"[Category(name='Korean', alias='korean'), Category(name='Cocktail Bars', alias='cocktailbars')]"
holland-bar-new-york,560,Holland Bar,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Sports Bars', alias='sportsbars')]"
lanterns-keep-new-york,439,Lantern's Keep,4.0,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
bibi-new-york,272,bibi,4.5,"[Category(name='Wine Bars', alias='wine_bars')]"
the-wren-new-york,402,The Wren,4.0,"[Category(name='Bars', alias='bars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Venues & Event Spaces', alias='venues')]"
the-immigrant-new-york,415,The Immigrant,4.0,"[Category(name='Wine Bars', alias='wine_bars')]"
excuse-my-french-new-york,365,Excuse My French,4.5,"[Category(name='Bars', alias='bars'), Category(name='Tapas Bars', alias='tapas'), Category(name='French', alias='french')]"
mace-new-york-4,252,Mace,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars')]"
blind-tiger-ale-house-new-york,446,Blind Tiger Ale House,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Pubs', alias='pubs')]"
district-m-new-york,1017,District M,4.0,"[Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Music Venues', alias='musicvenues')]"
hardings-new-york,547,Harding's,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]"
anotheroom-new-york,215,Anotheroom,4.0,"[Category(name='Lounges', alias='lounges')]"
dive-75-new-york,179,Dive 75,3.5,"[Category(name='Dive Bars', alias='divebars'), Category(name='Sports Bars', alias='sportsbars')]"
flatiron-lounge-new-york,481,Flatiron Lounge,4.0,"[Category(name='Lounges', alias='lounges')]"
lido-new-york,241,Lido,4.0,"[Category(name='Italian', alias='italian'), Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='Cocktail Bars', alias='cocktailbars')]"
mothers-ruin-new-york,375,Mother's Ruin,3.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]"
the-draft-house-new-york,251,The Draft House,3.5,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Italian', alias='italian')]"
sexy-taco-dirty-cash-new-york,238,Sexy Taco/Dirty Cash,3.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Mexican', alias='mexican')]"
la-biblioteca-new-york,283,La Biblioteca,3.5,"[Category(name='Lounges', alias='lounges')]"
